id,title,field,value,tekstgrond
44141,3D Series,sustainably_produced,yes,", flexible, compact stacking for shipping, Sustainability: NAF resin (CARB2 exempt), uses 75% less materials, FSC controlled materials. Fire Rating: Class A. Applications: Wall systems, Lights systems, decorative design."
44129,Acoustic Wool Felt Rigid,sustainably_produced,yes,"ded formaldehyde substrate, and the wood can be obtained with a variety of sustainability certifications like FSC or PEFC. This acoustic Plexwood panel is made of 100% wool felt and Plexwood. It is rigid for wall, ceiling a"
2797,Alpilignum – Design Collection,sustainably_produced,yes,"tuted wood for decorative surfaces. Starting from poplar, basswood and ayous trees (from forests managed with FSC certificate), Alpilignum recreates types of rare woods and fanciful patterns. During production, low formalde"
25051,bCore,sustainably_produced,yes,"-lightweight wood core, bCore D200 has a patented structure combining low-density end and flat grain veneers (FSC certified) with some of the most high-performing flax fibre composites on the market (amplieTEX non-crimps)."
2547,Colour Line,sustainably_produced,yes,"lours on a smooth surface of European oak make up the Colour Line. The wood planks consist of an underside of FSC birch plywood and a top layer of European oak – FSC on request. The wood grain remains visible, while the pla"
42719,Crush paper,sustainably_produced,yes,"ng an eco-friendly manufacturing process that’s far more advanced than standard recycling processes. Crush is FSC certified, GMO free, contains 30% post-consumer recycled waste and is produced with EKOenergy, resulting in a"
2794,DendroLight Table Tops,sustainably_produced,yes,"ases vibration damping, compression strength and stiffness characteristics. All DendroLight products have the FSC certificate."
79045,DESARDI Classic Non-Woven,sustainably_produced,yes,"ase Easy removal in one piece Fire retardant – B-s1,d0 – European standard CE marking – EN 15102:2007+A1:2011 FSC certified REACH compliant DESARDI Classic is also Bio-Pruf treated, a technology that is preventing the growt"
104058,DISPA®,sustainably_produced,yes,100% PAPER – 100% RECYCLABLE – FSC® CERTIFIED. DISPA® are the sustainable display boards for screen and digital printing. They are made of FSC®
135194,Duranova™,sustainably_produced,yes,". Responsibility and transparency are central to the material’s development. Duranova® products are made from FSC-certified fibre, meet ISO 22000 food safety standards, and are certified for home compostability. Fiberdom ha"
2681,DuraPulp,sustainably_produced,yes,"Polylactic Acid). The ingredients are from renewable, non-fossil based raw materials. The DuraPulp comes from FSC and PEFC certified forests. DuraPulp is a biocomposite mainly consisting of selected wood fibres and a bio-po"
112760,Eco Range,sustainably_produced,yes,rom small local businesses and then formed into Giles Miller Studio’s signature ‘Fin’ and ‘Penny’ tiles using FSC virgin cellulose (coming from various agrifood by-products). The manufacturing process explores the intersect
93544,EEUWENHOUT,sustainably_produced,yes,"all covering, furniture, flooring, cupboard fronts, exterior cladding, … Eeuwenhout barnwood sidings have the FSC® 100% recycled label."
129723,Eucalyptus grandis Cross Laminated Timber (CLT),sustainably_produced,yes,"twist or split. Standard Panel Dimensions are 10,000 x 5,000 x 100 mm. Eucalyptus grandis is a fast-growing, FSC-certified, plantation-sourced hardwood known for its strength, durability, and environmental benefits. Its us"
119020,Faay,sustainably_produced,yes,"ecognitions and certificates. Think of ISO 14001/environmental effects and ISO 9001/quality management, KOMO, FSC® and PEFC. Product features most sustainable wall in Europe little waste flexible and circular easy assembly"
