id,title,material_category_old,type_old,material_category_new,type_new,motivering
24960,Mosaic Tiles by Mozenzi,9,Metals,12,(Bio)Plastics,§3.1 PVC-kern met een dunne aluminiumoxidelaag; de kern telt
211,Perclax®,8,Glass,12,(Bio)Plastics,"§3.1 gegoten PMMA; acrylaat is kunststof, geen glas"
21653,Sefar Architecture Vision,9,Metals,12,(Bio)Plastics,§3.1 polyesterweefsel met een metaalcoating; het weefsel is de basis
2592,Cottone Superbo Conchiglia,8,Glass,11,Bio-based (excl. Wood),"§3.1 katoen tussen glasplaten; consistent met Base Superbo, waar het katoen de propositie draagt"
2635,Cottone Superbo Imperatore,8,Glass,11,Bio-based (excl. Wood),§3.1 zelfde als Cottone Superbo Conchiglia
1238,Moniflex,13,Wood,11,Bio-based (excl. Wood),"§3.2 cellulosevellen, geen houtplaat"
1363,Paper Carpet,13,Wood,11,Bio-based (excl. Wood),§3.2 100% papiergaren; cellulose uit papier hoort bij Bio-based
2571,Perltec Cottone Superbo Cordoni,8,Glass,11,Bio-based (excl. Wood),§3.1 zelfde als Cottone Superbo Conchiglia
180,Shine,13,Wood,11,Bio-based (excl. Wood),"§3.2 een papiersoort, geen houtproduct"
29093,Washi HPL,12,(Bio)Plastics,11,Bio-based (excl. Wood),"Washi HPL: Japans papier draagt de propositie, niet de hars (§3.2c)"
1243,Woodnotes Paper Yarn,13,Wood,11,Bio-based (excl. Wood),§3.2 zelfde als Paper Carpet
29433,Brass & Copper,9,Metals,2457,Composites,"§3.12 HPL is papier met melaminehars; kruisende families zonder dominantie. De propositie — hardheid en slijtvastheid — komt uit de hars, niet uit het papier. Patroonbesluit 25-08"
93410,Compact Panel – Trend,13,Wood,2457,Composites,"§3.12 HPL is papier met melaminehars; kruisende families zonder dominantie. De propositie — hardheid en slijtvastheid — komt uit de hars, niet uit het papier. Patroonbesluit 25-08"
91776,DecoLegno HPL Specials,13,Wood,2457,Composites,"§3.12 HPL is papier met melaminehars; kruisende families zonder dominantie. De propositie — hardheid en slijtvastheid — komt uit de hars, niet uit het papier. Patroonbesluit 25-08"
328,Dekoart,12,(Bio)Plastics,2457,Composites,"§3.12 HPL is papier met melaminehars; kruisende families zonder dominantie. De propositie — hardheid en slijtvastheid — komt uit de hars, niet uit het papier. Patroonbesluit 25-08"
330,Dekolux,12,(Bio)Plastics,2457,Composites,"§3.12 HPL is papier met melaminehars; kruisende families zonder dominantie. De propositie — hardheid en slijtvastheid — komt uit de hars, niet uit het papier. Patroonbesluit 25-08"
584,Dekolux Fossil,12,(Bio)Plastics,2457,Composites,"§3.12 HPL is papier met melaminehars; kruisende families zonder dominantie. De propositie — hardheid en slijtvastheid — komt uit de hars, niet uit het papier. Patroonbesluit 25-08"
1329,Dekopix,12,(Bio)Plastics,2457,Composites,"§3.12 HPL is papier met melaminehars; kruisende families zonder dominantie. De propositie — hardheid en slijtvastheid — komt uit de hars, niet uit het papier. Patroonbesluit 25-08"
329,Dekorial,9,Metals,2457,Composites,"§3.12 HPL is papier met melaminehars; kruisende families zonder dominantie. De propositie — hardheid en slijtvastheid — komt uit de hars, niet uit het papier. Patroonbesluit 25-08"
1118,Designers Collection,13,Wood,2457,Composites,"§3.12 HPL is papier met melaminehars; kruisende families zonder dominantie. De propositie — hardheid en slijtvastheid — komt uit de hars, niet uit het papier. Patroonbesluit 25-08"
1310,DigitalPrint – Serie Metalli,9,Metals,2457,Composites,"§3.12 HPL is papier met melaminehars; kruisende families zonder dominantie. De propositie — hardheid en slijtvastheid — komt uit de hars, niet uit het papier. Patroonbesluit 25-08"
2283,Double Face,9,Metals,2457,Composites,"§3.2 61% staal en 39% polyester, geen dominantie"
2156,Duropal,12,(Bio)Plastics,2457,Composites,"§3.12 HPL is papier met melaminehars; kruisende families zonder dominantie. De propositie — hardheid en slijtvastheid — komt uit de hars, niet uit het papier. Patroonbesluit 25-08"
1599,Duropal HPL,13,Wood,2457,Composites,"§3.12 HPL is papier met melaminehars; kruisende families zonder dominantie. De propositie — hardheid en slijtvastheid — komt uit de hars, niet uit het papier. Patroonbesluit 25-08"
2288,ESD Static Fabric,9,Metals,2457,Composites,§3.2 roestvaststaaldraad gebreid met 40% polyester
1702,Essential Texture,12,(Bio)Plastics,2457,Composites,"§3.12 HPL is papier met melaminehars; kruisende families zonder dominantie. De propositie — hardheid en slijtvastheid — komt uit de hars, niet uit het papier. Patroonbesluit 25-08"
1699,Essentials Metal-art,12,(Bio)Plastics,2457,Composites,"§3.12 HPL is papier met melaminehars; kruisende families zonder dominantie. De propositie — hardheid en slijtvastheid — komt uit de hars, niet uit het papier. Patroonbesluit 25-08"
69883,FENIX NTA,9,Metals,2457,Composites,"§3.12 HPL is papier met melaminehars; kruisende families zonder dominantie. De propositie — hardheid en slijtvastheid — komt uit de hars, niet uit het papier. Patroonbesluit 25-08"
107327,Formica® Color Laminates,13,Wood,2457,Composites,"§3.12 HPL is papier met melaminehars; kruisende families zonder dominantie. De propositie — hardheid en slijtvastheid — komt uit de hars, niet uit het papier. Patroonbesluit 25-08"
56680,Formica® Doors Collection,13,Wood,2457,Composites,"§3.12 HPL is papier met melaminehars; kruisende families zonder dominantie. De propositie — hardheid en slijtvastheid — komt uit de hars, niet uit het papier. Patroonbesluit 25-08"
107333,Formica® Washroom Collection,13,Wood,2457,Composites,"§3.12 HPL is papier met melaminehars; kruisende families zonder dominantie. De propositie — hardheid en slijtvastheid — komt uit de hars, niet uit het papier. Patroonbesluit 25-08"
40798,Formica® Woods Laminates,13,Wood,2457,Composites,"§3.12 HPL is papier met melaminehars; kruisende families zonder dominantie. De propositie — hardheid en slijtvastheid — komt uit de hars, niet uit het papier. Patroonbesluit 25-08"
179,Gagecast,9,Metals,2457,Composites,"§3.2 metaalgevuld polymeer op een dragerplaat, geen massief metaal"
2303,Glare,9,Metals,2457,Composites,"§3.2 glasvezelversterkt metaallaminaat, drie families"
1889,H13/013,13,Wood,2457,Composites,"§3.12 HPL is papier met melaminehars; kruisende families zonder dominantie. De propositie — hardheid en slijtvastheid — komt uit de hars, niet uit het papier. Patroonbesluit 25-08"
52703,HPL and HPL veneer full colour,12,(Bio)Plastics,2457,Composites,"§3.12 HPL is papier met melaminehars; kruisende families zonder dominantie. De propositie — hardheid en slijtvastheid — komt uit de hars, niet uit het papier. Patroonbesluit 25-08"
30988,Hybrix,9,Metals,2457,Composites,§3.2 metaal-microsandwich met vezels ertussen
1450,Hybrix Flexible,9,Metals,2457,Composites,§3.2 zelfde als Hybrix
590,Melatone woven wood,13,Wood,2457,Composites,"§3.12 HPL is papier met melaminehars; kruisende families zonder dominantie. De propositie — hardheid en slijtvastheid — komt uit de hars, niet uit het papier. Patroonbesluit 25-08"
2196,Metafuse,6,Coatings,2457,Composites,"§3.2 metaal-polymeerhybride, geen dominante basisstof"
700,Metal Laminate,9,Metals,2457,Composites,"§3.12 HPL is papier met melaminehars; kruisende families zonder dominantie. De propositie — hardheid en slijtvastheid — komt uit de hars, niet uit het papier. Patroonbesluit 25-08"
1359,Pearlnera,8,Glass,2457,Composites,"§3.2 glasparels in een minerale binder, kruisende families"
1290,Polyrey Collection,13,Wood,2457,Composites,"§3.12 HPL is papier met melaminehars; kruisende families zonder dominantie. De propositie — hardheid en slijtvastheid — komt uit de hars, niet uit het papier. Patroonbesluit 25-08"
2742,PreBeam,13,Wood,2457,Composites,§3.2 dragend aluminium element met multiplex als plaatmateriaal
29101,Primofiore,13,Wood,2457,Composites,"§3.12 HPL is papier met melaminehars; kruisende families zonder dominantie. De propositie — hardheid en slijtvastheid — komt uit de hars, niet uit het papier. Patroonbesluit 25-08"
2611,Reflexions,12,(Bio)Plastics,2457,Composites,"§3.12 HPL is papier met melaminehars; kruisende families zonder dominantie. De propositie — hardheid en slijtvastheid — komt uit de hars, niet uit het papier. Patroonbesluit 25-08"
299,Resopal,12,(Bio)Plastics,2457,Composites,"§3.12 HPL is papier met melaminehars; kruisende families zonder dominantie. De propositie — hardheid en slijtvastheid — komt uit de hars, niet uit het papier. Patroonbesluit 25-08"
126307,Rockpanel Stones,10,Natural Stones,2457,Composites,"§3.2 steenwol met een organisch bindmiddel, kruisende families"
2561,Serigrafia Longline,12,(Bio)Plastics,2457,Composites,"§3.12 HPL is papier met melaminehars; kruisende families zonder dominantie. De propositie — hardheid en slijtvastheid — komt uit de hars, niet uit het papier. Patroonbesluit 25-08"
2778,Spruce Phoenix,13,Wood,2457,Composites,§3.2 multiplex met een aluminium toplaag
1049,Steel Collection,12,(Bio)Plastics,2457,Composites,"§3.12 HPL is papier met melaminehars; kruisende families zonder dominantie. De propositie — hardheid en slijtvastheid — komt uit de hars, niet uit het papier. Patroonbesluit 25-08"
2560,Stratificato Print HPL,12,(Bio)Plastics,2457,Composites,"§3.12 HPL is papier met melaminehars; kruisende families zonder dominantie. De propositie — hardheid en slijtvastheid — komt uit de hars, niet uit het papier. Patroonbesluit 25-08"
2578,Tessuto,12,(Bio)Plastics,2457,Composites,"§3.12 HPL is papier met melaminehars; kruisende families zonder dominantie. De propositie — hardheid en slijtvastheid — komt uit de hars, niet uit het papier. Patroonbesluit 25-08"
129521,Trespa® Meteon® Lumen Diffuse L9000,12,(Bio)Plastics,2457,Composites,"§3.12 HPL is papier met melaminehars; kruisende families zonder dominantie. De propositie — hardheid en slijtvastheid — komt uit de hars, niet uit het papier. Patroonbesluit 25-08"
1892,Bia Metallic,9,Metals,7,Concrete,§3.1 betonblok met een opgespoten metaallaag; het beton is het lichaam
2361,Ceramic Steel,6,Coatings,9,Metals,"§3.1 geëmailleerd staal; de emaillaag is een afwerking, het staal draagt de identiteit"
2308,Flexible Sandstone,6,Coatings,10,Natural Stones,§3.1 zandsteen op een katoenen drager; de steen draagt de identiteit
2396,FlexSandStone,6,Coatings,10,Natural Stones,§3.1 zelfde als Flexible Sandstone
1952,Stoneplex Sand,6,Coatings,10,Natural Stones,§3.1 natuursteenstructuur op een katoenen rug
21208,Intexmo Wallart,6,Coatings,13,Wood,"§3.1 gegoten PU op een MDF-drager; de plaat is het lichaam, de PU de deklaag"
