id,title,theme_ids_old,theme_ids_new,channels_new_readable,motivering
79587,100% bacterial dye,79|68,79,Bio-based & Living Materials,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
20548,2.5D print,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
70688,2000N Pressed Shoe,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
1365,2TEC2,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
87001,2tec2 high tech flooring,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
104564,2tec2 – Marble & Desert,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
75857,37.5 technology WPB laminate,68|69,69,Smart & Responsive,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
70930,3D knitted jersey,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
35320,3D Printed Surface,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
134675,3D Printed Urban Ceramics 4D Tile,68|75,68|2601|2456,Biophilic & Human-Centred | Living Materials | Regenerative,"tegelgeometrie die vocht vasthoudt zodat begroeiing zich vestigt | §1.2 maximaal drie channels: New Making laten vallen, het specifiekste channel wint"
129717,3D Printing Clay facade bricks,916,916|2456,Circular | Regenerative,gevelsteen met holtes die groen herbergen; stedelijke biodiversiteit als doel
39187,3D stretch,68,2471,Sense & Sensibility,"§4 de tekst benoemt zelf een uitgesproken zintuiglijke eigenschap als propositie — reliëf, textuur, lichtwerking, tactiliteit, geur of kleur die met de kijkhoek verandert"
1511,3D Textiles,,2471,Sense & Sensibility,"§4 de tekst benoemt zelf een uitgesproken zintuiglijke eigenschap als propositie — reliëf, textuur, lichtwerking, tactiliteit, geur of kleur die met de kijkhoek verandert"
32588,3D Textiles by Gaetano Rossini,68|77,77,Lightweight,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
32278,3D Veneer,917|68|2453,917|2453,Acoustic | Timber,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
2485,3d-design,,2471,Sense & Sensibility,"§4 de tekst benoemt zelf een uitgesproken zintuiglijke eigenschap als propositie — reliëf, textuur, lichtwerking, tactiliteit, geur of kleur die met de kijkhoek verandert"
2235,Abstract Mirror,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
2580,Accoya,79|68,79|2511,Bio-based & Living Materials | Healthy & Non-Toxic,acetylering maakt het hout duurzaam zonder het toxisch te maken
89942,Acoustic curtain fabrics,917|68,917,Acoustic,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
42156,Acoustic metal,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
93444,Acoustic PET Felt,917|68|916,917|916,Acoustic | Circular,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
57652,Acoustic reed elements,79|68|916,79|916,Bio-based & Living Materials | Circular,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
29568,Acrylic Couture,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
765,Acrylic One,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
68049,Adamant Textile,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
120697,Aectual Wrap Panel,68|916,916,Circular,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
1441,Aeras,,2471,Sense & Sensibility,"§4 de tekst benoemt zelf een uitgesproken zintuiglijke eigenschap als propositie — reliëf, textuur, lichtwerking, tactiliteit, geur of kleur die met de kijkhoek verandert"
32288,Aestetica composites,68|77,77,Lightweight,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
1337,Aesthetical Ceramics,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
72939,Akdolam lightweight stone panels,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
36988,Alesta Powder Coating – The Finetextured Collection,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
2097,Allure & Manhattan,,2471,Sense & Sensibility,"§4 de tekst benoemt zelf een uitgesproken zintuiglijke eigenschap als propositie — reliëf, textuur, lichtwerking, tactiliteit, geur of kleur die met de kijkhoek verandert"
1476,Alpha Tacto,,2471,Sense & Sensibility,"§4 de tekst benoemt zelf een uitgesproken zintuiglijke eigenschap als propositie — reliëf, textuur, lichtwerking, tactiliteit, geur of kleur die met de kijkhoek verandert"
32730,ALPIlignum,79|68,79|2511,Bio-based & Living Materials | Healthy & Non-Toxic,gekleurd met niet-toxische kleurstoffen
2011,Alrox,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
311,Altuglas Dual Satin,68,2471,Sense & Sensibility,"§4 de tekst benoemt zelf een uitgesproken zintuiglijke eigenschap als propositie — reliëf, textuur, lichtwerking, tactiliteit, geur of kleur die met de kijkhoek verandert"
287,ALUCOBOND®,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
2425,Aluminium chain links,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
52623,Aluminium full colour,917|68,917,Acoustic,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
2715,Aluminium Surface Collections,77,77|2471,Lightweight | Sense & Sensibility,"§4 de tekst benoemt zelf een uitgesproken zintuiglijke eigenschap als propositie — reliëf, textuur, lichtwerking, tactiliteit, geur of kleur die met de kijkhoek verandert"
129501,AluOldCopper,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
48920,AmbientPro+ graphene paint,68|69,69|2511,Smart & Responsive | Healthy & Non-Toxic,fotokatalytische verf breekt schadelijke deeltjes af
134536,An edible mission. More than Packaging_,79|916,79|916|2601,Bio-based & Living Materials | Circular | Living Materials,"§4 myceliumvellen gecombineerd met algenfilm — nieuw channel Living Materials, afgesplitst van Bio-based"
70344,ANEMONIA,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
94517,Antibacterial surfaces,68,2511,Healthy & Non-Toxic,"antibacterieel oppervlak, expliciet voor zorg- en onderwijsomgevingen"
2237,Antimicrobial Copper,68,2511,Healthy & Non-Toxic,"koperlegering doodt 99,9% van de bacteriën binnen twee uur"
17334,Antimicrobial Copper: Brass,68,2511,Healthy & Non-Toxic,"antimicrobiële koperlegering, brede werking tegen bacteriën, virussen en schimmels"
17328,Antimicrobial Copper: Bronze,68,2511,Healthy & Non-Toxic,"antimicrobiële koperlegering, brede werking tegen bacteriën, virussen en schimmels"
135832,Antique & Colourful mirrors,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
76134,Antiqued mirror and gilded glass,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
24709,ANVI Luxury Surfaces,68|73,73,Material Futures,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
90708,Aquatecture Water Harvesting Panel,917|68,917,Acoustic,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
74204,Archi Folds,917|68,917,Acoustic,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
48225,Architectural mesh,68,2471,Sense & Sensibility,"§4 de tekst benoemt zelf een uitgesproken zintuiglijke eigenschap als propositie — reliëf, textuur, lichtwerking, tactiliteit, geur of kleur die met de kijkhoek verandert"
30479,Architectural Titanium,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
1736,Architextile,79|68,79,Bio-based & Living Materials,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
1791,Ardomix,,2471,Sense & Sensibility,"§4 de tekst benoemt zelf een uitgesproken zintuiglijke eigenschap als propositie — reliëf, textuur, lichtwerking, tactiliteit, geur of kleur die met de kijkhoek verandert"
716,Armourcast,,2471,Sense & Sensibility,"§4 de tekst benoemt zelf een uitgesproken zintuiglijke eigenschap als propositie — reliëf, textuur, lichtwerking, tactiliteit, geur of kleur die met de kijkhoek verandert"
18548,AROMA AQ,,2471,Sense & Sensibility,"§4 de tekst benoemt zelf een uitgesproken zintuiglijke eigenschap als propositie — reliëf, textuur, lichtwerking, tactiliteit, geur of kleur die met de kijkhoek verandert"
40470,Arstyl,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
24,Art Ferro,917|68,917,Acoustic,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
128104,Art Intervention,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
1670,Art panel,917|68,917,Acoustic,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
135048,Artisan Silicone®,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
1410,Artos,,2471,Sense & Sensibility,"§4 de tekst benoemt zelf een uitgesproken zintuiglijke eigenschap als propositie — reliëf, textuur, lichtwerking, tactiliteit, geur of kleur die met de kijkhoek verandert"
59910,Artstone,68|77,77,Lightweight,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
1480,Astrale,,2471,Sense & Sensibility,"§4 de tekst benoemt zelf een uitgesproken zintuiglijke eigenschap als propositie — reliëf, textuur, lichtwerking, tactiliteit, geur of kleur die met de kijkhoek verandert"
28064,Atelier Collection,79|68,79,Bio-based & Living Materials,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
1482,Atex Colour,917|68,917,Acoustic,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
55899,Atmospheric Wood,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
2515,Avonite Glass Series,,2471,Sense & Sensibility,"§4 de tekst benoemt zelf een uitgesproken zintuiglijke eigenschap als propositie — reliëf, textuur, lichtwerking, tactiliteit, geur of kleur die met de kijkhoek verandert"
2539,Avonite Petals Series,,2471,Sense & Sensibility,"§4 de tekst benoemt zelf een uitgesproken zintuiglijke eigenschap als propositie — reliëf, textuur, lichtwerking, tactiliteit, geur of kleur die met de kijkhoek verandert"
1421,B-Clear,77,77|2471,Lightweight | Sense & Sensibility,"§4 de tekst benoemt zelf een uitgesproken zintuiglijke eigenschap als propositie — reliëf, textuur, lichtwerking, tactiliteit, geur of kleur die met de kijkhoek verandert"
119661,Bacterial cellulose,79,79|2601,Bio-based & Living Materials | Living Materials,"§4 bacteriecellulose, gevormd door fermentatie in een biofilm — nieuw channel Living Materials, afgesplitst van Bio-based"
2057,Bamboo Groove & Star Canopy,79|68,79,Bio-based & Living Materials,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
36737,Bamboo mosaic,79|68|916,79|916,Bio-based & Living Materials | Circular,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
43925,"Banana fibre, hemp & jute carpet",79|68,79,Bio-based & Living Materials,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
108299,Bananatex®,79|916,79|916|2456,Bio-based & Living Materials | Circular | Regenerative,herbebossing van gronden die door palmoliemonocultuur waren geërodeerd; biodiversiteit expliciet genoemd
1582,Barkcloth HPL,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
1269,Barlo Cast Design,,2471,Sense & Sensibility,"§4 de tekst benoemt zelf een uitgesproken zintuiglijke eigenschap als propositie — reliëf, textuur, lichtwerking, tactiliteit, geur of kleur die met de kijkhoek verandert"
2380,Barrisol,68,2511,Healthy & Non-Toxic,"gegarandeerd zonder lood, ftalaten of cadmium; non-toxic"
124618,Barrisol Clim,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
1414,Barrisol MICROSORBER®,917|68|2455,917|2455,Acoustic | Energy & Resilience,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
19771,BARRISOL MIRROR®,917|68,917,Acoustic,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
