wp_id,titel,huidig_type,type_voorstel,type_zekerheid,channels_voorstel,channels_zekerheid,geen_channel_reden,motivering
2097,Allure & Manhattan,Coatings,Bio-based (excl. Wood),laag,,laag,te weinig info,"§3.4 wandbekleding, geen coating; linnen draagt, mica en glasparels maken de dominantie onzeker"
24685,ANVI Solitaire,Coatings,Natural Stones,laag,,laag,te weinig info,§3.5 substantie niet te bepalen: hout óf marmer met hars
29997,EG Wall Panels,Coatings,Coatings,laag,,laag,te weinig info,§3.5 handgemaakte wandpanelen; materiaal niet genoemd
26811,Fenix NTM (Nano Tech Matt),Coatings,Coatings,laag,Biophilic & Human-Centred,laag,,"§3.5 oppervlaktemateriaal, geen coating; drager en samenstelling niet uit de tekst te bepalen"
21465,Freehand drawing,Coatings,Ceramics,laag,,laag,te weinig info,§3.5 cotto én lavasteen genoemd; dominantie niet te bepalen
188,FuturePrint,Coatings,Coatings,laag,New Making,laag,,§3.5 printfolietechniek; excerpt te dun voor een substantie
2422,Masa,Coatings,Coatings,laag,Smart & Responsive,laag,,§3.5 vezelvlies met metaalfilm; vezelsoort niet genoemd
1510,Moss & Lam Finishes,Coatings,Coatings,laag,,laag,te weinig info,"§3.5 dienstverlening, geen materiaalbeschrijving"
2365,O-Pur,Coatings,Coatings,laag,Smart & Responsive,laag,,"§3.5 authenticatieconcept, geen substantie"
617,Ombrae system,Coatings,Coatings,laag,New Making,laag,,§3.5 beeldvormend proces; substantie niet genoemd
2526,Printtapijt,Coatings,Coatings,laag,,laag,te weinig info,"§3.5 interieurconcept, geen substantie"
64070,Reflective fabrics,Coatings,Coatings,laag,Smart & Responsive,laag,,§3.5 gecoat textiel; vezelsoort niet genoemd
2487,See Your Space,Coatings,Coatings,laag,,laag,te weinig info,§3.5 kunstproject; substantie niet te bepalen
29055,Special Prints,Coatings,Coatings,laag,New Making,laag,,"§3.5 zeefdrukdienst, geen substantie"
1952,Stoneplex Sand,Coatings,Coatings,laag,,laag,te weinig info,§3.5 wandbekleding; het toplaagmateriaal wordt niet genoemd
37571,Texture surfaces,Coatings,Coatings,laag,,laag,te weinig info,"§3.5 kunstenaarsbeschrijving, geen materiaalbeschrijving"
2345,Wall panel,Coatings,Coatings,laag,,laag,te weinig info,"§3.5 bedrijfsbeschrijving, geen materiaalbeschrijving"
20058,Y Shield,Coatings,Coatings,laag,Smart & Responsive,laag,,§3.5 netten en vliezen; vezelsoort niet genoemd
28630,Dreamfield,Coatings,Coatings,laag,Smart & Responsive,midden,,"§3.5 textiel met microcapsules; vezelsoort niet genoemd, dus substantie niet te bepalen"
2440,Framax laser cutting technology,Coatings,Coatings,laag,New Making,midden,,"§3.5 procestechniek, geen substantie; kandidaat om uit de materialen te halen"
2701,Lasertec,Coatings,Coatings,laag,New Making,midden,,"§3.5 bewerkingstechnologie, geen substantie"
119268,Phenol Sodium Ascorbate Developer,Coatings,Coatings,laag,Material Futures,midden,,"§3.5 fotochemie, geen opgebrachte laag; onderzoeksproject"
1650,Photo Engraving Formliner,Coatings,Coatings,laag,New Making,midden,,"§3.5 matrijsbekleding voor beton, geen coating"
40651,Sto-Ecoshapes,Coatings,Coatings,laag,Energy & Resilience,midden,,§3.5 gevelbekleding op een isolatiesysteem; substantie niet genoemd
2736,Surfi-Sculpt®,Coatings,Coatings,laag,New Making,midden,,"§3.5 oppervlaktebewerkingstechnologie, geen substantie"
1842,Xylogramm,Coatings,Coatings,laag,New Making,midden,,"§3.5 freestechniek, geen substantie"
36732,Ceramic surface,Coatings,Ceramics,midden,Biophilic & Human-Centred,laag,,"§3.1 keramische panelen met glazuur; het paneel draagt, dit is geen coating"
2382,JRC REFLEX,Coatings,Composites,midden,Smart & Responsive,laag,,"§3.2 glasmicrobolletjes in polyurethaan: glas en polymeer, geen dominante basisstof"
2196,Metafuse,Coatings,Composites,midden,,laag,te weinig info,§3.2 metaal en thermoplast kruisen twee families; excerpt erg dun
36733,Metal structural surfaces,Coatings,Metals,midden,,laag,te weinig info,"§3.1 metalen plaatmateriaal; ""Elenite"" wordt niet toegelicht"
38050,Osis technique,Coatings,Wood,midden,New Making | Material Futures,laag,,§3.1 het hout draagt de identiteit; glazuur en zout zijn afwerking
322,Coatacoustic,Coatings,Concrete,laag,Acoustic,hoog,,"§3.1 geperforeerd gipskartonpaneel draagt de identiteit, niet de coating; type onzeker"
1533,Ri-acoustic,Coatings,Concrete,laag,Acoustic,hoog,,§3.1 geperforeerd gipskartonpaneel draagt de identiteit; type onzeker
2092,"Belpasso Premio, Cleantop",Coatings,Concrete,midden,,midden,generiek,§3.1 betonsteen met geïntegreerd systeem; de steen draagt de identiteit
135284,Biobased debondable adhesive,Coatings,Coatings,midden,Bio-based & Living Materials | Circular | Material Futures,midden,,"§3.4 lijm als opgebrachte laag; PLA-biobased, demontabel, onderzoeksfase. Grensgeval lijmen"
127428,BirdShades bird protection window film,Coatings,Coatings,midden,Smart & Responsive,midden,,§3.4 opgebrachte folie; werkt op het UV-zicht van vogels. Regenerative niet: beschermen is geen herstellen (§4.1)
